Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
59.53;50.0;821.0;49.94604456187292;987.5200474186398;22.0
59.7;50.1;843.0;50.05168370771051;989.6058202704423;22.0
59.87;50.2;793.0;50.195301360325196;992.6360202285747;22.0
60.03;50.3;866.0;50.274507317788405;993.1509854946468;22.0
60.2;50.4;833.0;50.39522908496802;996.9673185269488;22.0
60.37;50.5;802.0;50.51644431351035;999.8245648514703;22.0
60.53;50.6;806.0;50.629041723659405;1001.1166360263798;22.0
60.7;50.8;871.0;50.722201733599256;1003.6093482753625;22.0
60.87;50.8;836.0;50.84432570541469;1006.2999237187444;22.0
61.03;51.0;898.0;50.93784490310764;1009.0544103367961;22.0
61.2;51.1;786.0;51.09148931800991;1013.4365758870822;22.0
61.37;51.2;878.0;51.16400999196575;1013.2969799332842;22.0
61.53;51.3;869.0;51.27835869644312;1017.0357100188317;22.0
61.7;51.3;946.0;51.36434915138463;1020.7827885518867;22.0
61.87;51.5;941.0;51.471191270575744;1028.033727861755;22.0
62.03;51.6;926.0;51.582291181043004;1034.534425510409;22.0
62.2;51.7;881.0;51.71999026533171;1039.4822032105496;22.0
62.37;51.8;957.0;51.83311448217775;1043.6006707772785;22.0
62.53;52.0;998.0;51.95266934386659;1050.3670709724684;22.0
62.7;52.0;970.0;52.05215109217929;1057.2146112061894;22.0
62.87;52.2;1011.0;52.18197625585436;1065.9819521345996;22.0
63.03;52.3;939.0;52.29735526368898;1071.6160051786057;22.0
63.2;52.4;856.0;52.43285435874197;1075.2268608034567;22.0
63.37;52.6;861.0;52.57259363861862;1077.1949393372574;22.0
63.53;52.6;839.0;52.66700932270441;1077.1917981361057;22.0
63.7;52.8;832.0;52.78426138667374;1078.889266597615;22.0
63.87;52.9;718.0;52.87066975860704;1075.7367349539786;22.0
64.03;53.0;653.0;52.98736465524923;1069.717451092607;22.0
64.2;53.1;532.0;53.117495985472935;1058.4386882657648;22.0
64.37;53.2;496.0;53.18904883062403;1043.0521427297929;22.0
64.53;53.3;416.0;53.32394789826449;1026.4162903370036;22.0
64.7;53.5;383.0;53.428863581868676;1007.230285689729;22.0
64.87;53.5;310.0;53.537610856737196;985.9289369679907;22.0
65.03;53.6;311.0;53.612697449294025;963.6183971623461;22.0
65.2;53.8;259.0;53.715645451101544;943.4005720935132;22.0
65.37;53.8;172.0;53.83126982901432;918.2240374496046;22.0
65.53;54.0;160.0;53.915255549233585;891.7905926747159;22.0
65.7;54.0;99.0;54.02105429352205;864.9224439411723;22.0
65.87;54.0;138.0;54.058241078858764;837.279785145292;22.0
66.03;54.1;142.0;54.12052081157443;815.1978201082303;22.0
66.2;54.2;125.0;54.19375713432048;791.527508390456;22.0
66.37;54.2;138.0;54.24122785110458;767.414308231836;22.0
66.53;54.3;134.0;54.30232828665039;745.7471018225588;22.0
66.7;54.4;42.0;54.39105420997083;722.8613764821945;22.0
66.87;54.4;82.0;54.43285808759437;698.0474124204976;22.0
67.04;54.5;97.0;54.479504550652244;676.4393823256218;22.0
67.2;54.5;94.0;54.521687969673636;657.2847835808984;22.0
